epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.60886,3.44402,4.40066,4.1746,0.00108,0.09331,0.00077,0.00024,3.11653,4.49191,4.30028,0.000412234,0.000412234,0.000412234
2,15.13,3.22833,3.84275,3.72999,0.00284,0.22482,0.0022,0.0006,2.85156,5.51434,3.63948,0.000828893,0.000828893,0.000828893
3,22.0424,3.09313,3.65364,3.37467,0.3104,0.08372,0.02861,0.00863,2.68557,4.10618,3.12577,0.00124552,0.00124552,0.00124552
4,28.7268,2.84623,3.48983,3.12805,0.57396,0.06142,0.02973,0.00949,2.42689,4.69663,2.96833,0.00124989,0.00124989,0.00124989
5,35.5297,2.67017,3.32129,2.96201,0.42453,0.06184,0.07894,0.02665,2.37594,3.18061,2.92457,0.0012498,0.0012498,0.0012498
6,42.2007,2.5239,3.13246,2.81636,0.39818,0.13232,0.10627,0.04313,2.22835,3.04163,2.7624,0.00124969,0.00124969,0.00124969
7,48.8136,2.35643,2.97254,2.69243,0.45946,0.1991,0.11729,0.0471,2.15894,3.38339,2.60658,0.00124956,0.00124956,0.00124956
8,55.5454,2.27349,2.86019,2.62691,0.24563,0.19088,0.12285,0.05044,2.18536,2.86181,2.70003,0.0012494,0.0012494,0.0012494
9,62.4389,2.19295,2.73073,2.52399,0.52224,0.23688,0.19978,0.08916,2.00562,2.85638,2.44282,0.00124921,0.00124921,0.00124921
10,69.912,2.14851,2.74597,2.49061,0.55993,0.25922,0.23447,0.10183,1.93854,2.49292,2.39146,0.001249,0.001249,0.001249
11,77.1634,2.12185,2.61828,2.44509,0.55843,0.31394,0.23002,0.10376,1.88475,2.51101,2.41013,0.00124877,0.00124877,0.00124877
12,84.4889,2.08577,2.60557,2.42393,0.61468,0.28402,0.27054,0.12521,1.86784,2.58724,2.45387,0.00124851,0.00124851,0.00124851
13,92.0233,2.00792,2.51453,2.36617,0.56891,0.33703,0.27192,0.13146,1.77189,2.43206,2.30643,0.00124822,0.00124822,0.00124822
14,99.4119,2.01331,2.47082,2.34642,0.29118,0.36393,0.28421,0.13807,1.76363,2.62782,2.2267,0.00124792,0.00124792,0.00124792
15,106.718,1.92531,2.38679,2.30413,0.38756,0.35965,0.28468,0.14231,1.77802,2.33226,2.28958,0.00124758,0.00124758,0.00124758
16,113.726,1.98103,2.42122,2.33074,0.41895,0.34274,0.29347,0.13758,1.82382,2.37254,2.31987,0.00124723,0.00124723,0.00124723
17,120.774,1.88345,2.30558,2.24631,0.35637,0.37209,0.33016,0.17673,1.72968,2.28211,2.20895,0.00124684,0.00124684,0.00124684
18,127.821,1.88127,2.25538,2.23555,0.35297,0.37224,0.30763,0.1491,1.69859,2.39749,2.18377,0.00124644,0.00124644,0.00124644
19,135.194,1.90523,2.31716,2.24379,0.38211,0.36589,0.31915,0.16109,1.69617,2.08269,2.156,0.00124601,0.00124601,0.00124601
20,142.395,1.84234,2.22807,2.197,0.41349,0.33149,0.33722,0.16731,1.80037,2.39377,2.27568,0.00124555,0.00124555,0.00124555
21,149.311,1.83793,2.21083,2.18001,0.48409,0.3641,0.36319,0.19496,1.65072,2.07191,2.09023,0.00124507,0.00124507,0.00124507
22,156.257,1.85338,2.24105,2.19213,0.4394,0.38612,0.35561,0.18857,1.76816,2.2328,2.20921,0.00124457,0.00124457,0.00124457
23,163.212,1.79514,2.18494,2.17113,0.48011,0.47302,0.38153,0.20656,1.59373,2.05812,2.09102,0.00124404,0.00124404,0.00124404
24,170.319,1.82224,2.17788,2.16282,0.54558,0.43228,0.39854,0.21808,1.6227,2.08692,2.10165,0.00124349,0.00124349,0.00124349
25,177.501,1.76443,2.08779,2.12179,0.61667,0.42787,0.41128,0.22894,1.60566,2.06999,2.07907,0.00124291,0.00124291,0.00124291
26,184.536,1.7252,2.0746,2.08929,0.61086,0.40274,0.3965,0.21161,1.5937,2.11126,2.071,0.00124231,0.00124231,0.00124231
27,191.454,1.72986,2.08007,2.09533,0.53414,0.39138,0.38478,0.19767,1.67841,2.20613,2.12591,0.00124168,0.00124168,0.00124168
28,198.398,1.71552,2.08377,2.08869,0.41893,0.3856,0.40106,0.21189,1.67684,2.06701,2.16319,0.00124103,0.00124103,0.00124103
29,205.364,1.69056,1.95268,2.02969,0.40399,0.36774,0.33925,0.19098,1.62534,2.28597,2.04001,0.00124035,0.00124035,0.00124035
30,212.28,1.71722,1.9918,2.04209,0.51706,0.37004,0.38351,0.21207,1.60457,2.2011,2.05776,0.00123965,0.00123965,0.00123965
31,219.382,1.69567,1.98168,2.03622,0.3944,0.4319,0.37348,0.21103,1.65424,2.07259,2.14272,0.00123893,0.00123893,0.00123893
32,226.368,1.70953,1.98043,2.06846,0.44685,0.46034,0.45026,0.2461,1.65668,1.97401,2.12913,0.00123818,0.00123818,0.00123818
33,233.273,1.66577,1.94745,2.01444,0.64505,0.44244,0.44273,0.24521,1.56863,1.89969,2.02333,0.00123741,0.00123741,0.00123741
34,240.66,1.63585,1.90389,2.00368,0.34722,0.41495,0.37758,0.20964,1.62808,2.37814,2.08958,0.00123661,0.00123661,0.00123661
35,247.939,1.62379,1.85196,1.9739,0.59098,0.33859,0.39728,0.23088,1.59697,2.07602,2.03076,0.00123579,0.00123579,0.00123579
36,254.865,1.61036,1.92542,1.96689,0.57107,0.42203,0.42092,0.23931,1.5548,2.21555,1.99007,0.00123495,0.00123495,0.00123495
37,261.803,1.60946,1.87333,1.94704,0.66759,0.39759,0.44521,0.25256,1.55541,2.05301,1.9832,0.00123408,0.00123408,0.00123408
38,268.832,1.6208,1.85531,1.9755,0.55889,0.44776,0.45664,0.25961,1.64195,1.98887,2.09736,0.00123319,0.00123319,0.00123319
39,276.04,1.57523,1.78388,1.93545,0.50954,0.48344,0.47372,0.28857,1.44835,1.88252,1.90095,0.00123227,0.00123227,0.00123227
40,283.351,1.57723,1.7511,1.91752,0.53012,0.47126,0.47622,0.28346,1.46577,1.92316,1.93426,0.00123133,0.00123133,0.00123133
41,290.533,1.55204,1.71267,1.90523,0.56866,0.47695,0.49744,0.27917,1.57815,1.79179,2.0199,0.00123036,0.00123036,0.00123036
42,298.025,1.58769,1.73197,1.93395,0.5793,0.49951,0.51606,0.32926,1.42522,1.79319,1.8861,0.00122938,0.00122938,0.00122938
43,305.268,1.56086,1.75432,1.92545,0.53549,0.49023,0.48002,0.26981,1.51973,1.87213,1.96435,0.00122836,0.00122836,0.00122836
44,312.366,1.55821,1.75976,1.89868,0.5622,0.52865,0.49734,0.28517,1.55593,1.92014,1.97639,0.00122733,0.00122733,0.00122733
45,319.349,1.58421,1.75509,1.92092,0.58621,0.45572,0.47099,0.28606,1.53177,1.81541,1.95553,0.00122627,0.00122627,0.00122627
46,326.309,1.51321,1.70653,1.87528,0.60958,0.42835,0.47903,0.30301,1.46927,1.91958,1.91439,0.00122518,0.00122518,0.00122518
47,333.223,1.48075,1.62079,1.85447,0.50489,0.42585,0.47177,0.28475,1.50409,1.83781,1.94476,0.00122408,0.00122408,0.00122408
48,340.406,1.50607,1.65966,1.8547,0.60817,0.36728,0.40544,0.24343,1.65878,2.11644,2.08902,0.00122295,0.00122295,0.00122295
49,347.674,1.54767,1.7226,1.90109,0.60347,0.48766,0.50449,0.2809,1.60362,1.83837,2.0521,0.00122179,0.00122179,0.00122179
50,354.648,1.51041,1.62911,1.84771,0.57491,0.44154,0.48124,0.28483,1.54757,1.93756,1.97213,0.00122061,0.00122061,0.00122061
51,361.665,1.48366,1.60239,1.84071,0.55092,0.52259,0.54473,0.33629,1.48758,1.63005,1.93044,0.00121941,0.00121941,0.00121941
52,369.023,1.48648,1.58244,1.83308,0.53927,0.49687,0.50509,0.30107,1.50513,1.87963,1.94604,0.00121819,0.00121819,0.00121819
53,376.202,1.49115,1.59135,1.83566,0.50164,0.48417,0.49541,0.30182,1.50634,1.68463,1.93768,0.00121694,0.00121694,0.00121694
54,383.169,1.46829,1.54376,1.79707,0.49569,0.48163,0.48035,0.29024,1.50947,1.80912,1.9479,0.00121566,0.00121566,0.00121566
55,390.47,1.45482,1.54432,1.79318,0.56646,0.47697,0.49653,0.29643,1.48985,1.80689,1.89985,0.00121437,0.00121437,0.00121437
56,397.549,1.44734,1.55643,1.79157,0.59355,0.49097,0.50445,0.31397,1.44771,1.81714,1.91387,0.00121305,0.00121305,0.00121305
57,404.68,1.46232,1.51632,1.80008,0.5981,0.40874,0.46192,0.27423,1.49976,1.90599,1.90209,0.00121171,0.00121171,0.00121171
58,411.706,1.44418,1.52805,1.78469,0.53979,0.53203,0.55119,0.33433,1.48512,1.64442,1.87647,0.00121034,0.00121034,0.00121034
59,418.601,1.43071,1.45936,1.7598,0.67093,0.48901,0.53637,0.31779,1.43912,1.58636,1.88445,0.00120896,0.00120896,0.00120896
60,425.511,1.38822,1.43942,1.75738,0.58959,0.47335,0.49225,0.28968,1.53706,1.99994,1.96944,0.00120754,0.00120754,0.00120754
61,432.562,1.44537,1.5068,1.8019,0.57977,0.58548,0.57547,0.36045,1.43862,1.60898,1.86667,0.00120611,0.00120611,0.00120611
62,439.599,1.40216,1.44643,1.76753,0.60456,0.51514,0.54909,0.32741,1.50942,1.69312,1.94514,0.00120465,0.00120465,0.00120465
63,446.656,1.40839,1.4355,1.74863,0.5862,0.50673,0.51639,0.3031,1.46936,2.0279,1.95406,0.00120317,0.00120317,0.00120317
64,453.672,1.36619,1.38556,1.72308,0.6985,0.50997,0.56136,0.35033,1.41845,1.5398,1.85833,0.00120167,0.00120167,0.00120167
65,461.009,1.36554,1.37667,1.71622,0.67266,0.47032,0.54267,0.34668,1.49086,1.63045,1.98135,0.00120015,0.00120015,0.00120015
66,468.24,1.37293,1.37531,1.71711,0.62767,0.48974,0.55226,0.34379,1.44356,1.66518,1.89194,0.0011986,0.0011986,0.0011986
67,475.118,1.43094,1.44312,1.79613,0.57608,0.51397,0.57163,0.36174,1.38517,1.6628,1.82732,0.00119703,0.00119703,0.00119703
68,481.979,1.36228,1.36989,1.71519,0.60707,0.53474,0.54705,0.33399,1.45827,1.73872,1.87617,0.00119543,0.00119543,0.00119543
69,488.791,1.3308,1.3354,1.69907,0.68565,0.50068,0.55875,0.34743,1.43759,1.74266,1.86005,0.00119382,0.00119382,0.00119382
70,495.648,1.32159,1.3158,1.69112,0.60141,0.49291,0.51612,0.32595,1.41276,1.70082,1.85825,0.00119218,0.00119218,0.00119218
71,502.535,1.36257,1.34697,1.72098,0.59013,0.54299,0.5615,0.35457,1.39502,1.6748,1.85812,0.00119052,0.00119052,0.00119052
72,509.361,1.36054,1.32843,1.7128,0.60846,0.49714,0.54911,0.34408,1.43195,1.58462,1.87083,0.00118883,0.00118883,0.00118883
73,516.285,1.32013,1.31379,1.67405,0.58033,0.51354,0.50301,0.30919,1.46195,1.73714,1.8619,0.00118713,0.00118713,0.00118713
74,523.269,1.32927,1.33109,1.69854,0.63411,0.48104,0.52194,0.32714,1.40814,1.78101,1.84773,0.0011854,0.0011854,0.0011854
75,530.209,1.32627,1.31123,1.70133,0.57153,0.52124,0.55302,0.33778,1.43168,1.69514,1.89119,0.00118365,0.00118365,0.00118365
76,537.16,1.34497,1.31556,1.6763,0.67761,0.5553,0.58122,0.36748,1.37064,1.54075,1.81011,0.00118188,0.00118188,0.00118188
77,544.091,1.31117,1.27192,1.66662,0.54498,0.54394,0.53604,0.3376,1.37117,1.73946,1.83106,0.00118009,0.00118009,0.00118009
78,550.932,1.29523,1.26955,1.65519,0.68168,0.51215,0.55935,0.35705,1.37766,1.62723,1.82321,0.00117827,0.00117827,0.00117827
79,557.769,1.26189,1.19148,1.62965,0.57772,0.53229,0.51784,0.31643,1.38848,1.79043,1.80295,0.00117643,0.00117643,0.00117643
80,564.645,1.2856,1.2383,1.6558,0.62619,0.5511,0.57993,0.34954,1.46076,1.5689,1.8641,0.00117457,0.00117457,0.00117457
81,571.481,1.26197,1.1775,1.6309,0.66042,0.54593,0.57621,0.35838,1.42082,1.60868,1.84495,0.00117269,0.00117269,0.00117269
