epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.974,1.61886,1.77323,1.82101,0.56845,0.43785,0.43303,0.2449,1.63415,2.07282,1.87388,0.000407801,0.000407801,0.000407801
2,390.039,1.64319,1.86522,1.8365,0.54785,0.39217,0.43905,0.24999,1.58047,2.07966,1.83718,0.000816306,0.000816306,0.000816306
3,575.208,1.6381,1.86012,1.8575,0.51205,0.45613,0.45776,0.26486,1.66002,1.90255,1.88316,0.00121656,0.00121656,0.00121656
4,758.045,1.65853,1.85677,1.84746,0.46212,0.38396,0.38253,0.20865,1.68273,2.21776,1.89707,0.00121287,0.00121287,0.00121287
5,941.371,1.67592,1.8833,1.87805,0.43286,0.43023,0.38954,0.20285,1.73281,2.52075,1.94771,0.0012005,0.0012005,0.0012005
6,1124.72,1.64783,1.87385,1.85495,0.56183,0.39444,0.43268,0.23277,1.72458,2.03669,1.9945,0.00118812,0.00118812,0.00118812
7,1309.7,1.64088,1.84007,1.83908,0.44629,0.41593,0.42046,0.23434,1.62609,2.3254,1.8439,0.00117575,0.00117575,0.00117575
8,1493.76,1.6554,1.78585,1.83817,0.49733,0.42831,0.43363,0.23995,1.69333,2.0242,1.93466,0.00116337,0.00116337,0.00116337
9,1677.33,1.64117,1.80667,1.82747,0.53412,0.38979,0.41466,0.23109,1.67493,2.22008,1.92402,0.001151,0.001151,0.001151
10,1861.43,1.63705,1.79499,1.82475,0.52394,0.34672,0.33129,0.16157,1.79538,2.24134,2.06539,0.00113863,0.00113863,0.00113863
11,2045.69,1.66811,1.78521,1.84272,0.51842,0.38669,0.42151,0.23505,1.67533,2.1877,1.93618,0.00112625,0.00112625,0.00112625
12,2229.73,1.61464,1.79393,1.83347,0.4459,0.45696,0.46789,0.27547,1.63446,2.01599,1.8414,0.00111388,0.00111388,0.00111388
13,2414.28,1.62227,1.72603,1.81357,0.51166,0.43759,0.46838,0.27211,1.68531,2.11588,1.9409,0.0011015,0.0011015,0.0011015
14,2598.16,1.62142,1.73379,1.81597,0.58539,0.43003,0.48957,0.28068,1.65775,1.83672,1.90406,0.00108913,0.00108913,0.00108913
15,2783.31,1.61859,1.69941,1.78968,0.57926,0.4229,0.4567,0.24975,1.65242,1.97884,1.8733,0.00107675,0.00107675,0.00107675
16,2968.91,1.60436,1.69393,1.78367,0.61494,0.42197,0.47515,0.27016,1.63763,1.98842,1.8728,0.00106437,0.00106437,0.00106437
17,3152.95,1.58465,1.68354,1.79139,0.60762,0.46074,0.49985,0.27462,1.63123,1.79916,1.80897,0.001052,0.001052,0.001052
18,3337.12,1.59971,1.62846,1.78415,0.57465,0.47652,0.48731,0.27375,1.63753,1.79176,1.83769,0.00103962,0.00103962,0.00103962
19,3521.49,1.57729,1.65684,1.76599,0.54586,0.44181,0.48811,0.28438,1.60677,1.893,1.81232,0.00102725,0.00102725,0.00102725
20,3704.87,1.559,1.62083,1.74559,0.57046,0.42737,0.46289,0.25947,1.5678,1.97298,1.83907,0.00101488,0.00101488,0.00101488
21,3888.15,1.53958,1.62613,1.73748,0.39374,0.48144,0.4188,0.2479,1.59045,1.91437,1.80754,0.0010025,0.0010025,0.0010025
22,4073.03,1.55813,1.62197,1.73864,0.57412,0.45673,0.47479,0.27163,1.65175,1.96691,1.92293,0.000990125,0.000990125,0.000990125
23,4256.64,1.53611,1.63565,1.74271,0.66989,0.43955,0.52216,0.28664,1.62821,1.78882,1.88863,0.00097775,0.00097775,0.00097775
24,4440.69,1.55367,1.58541,1.72693,0.56912,0.49651,0.51663,0.28317,1.59666,1.76414,1.78185,0.000965375,0.000965375,0.000965375
25,4624.03,1.55995,1.58758,1.74855,0.57403,0.44353,0.51302,0.2984,1.56498,1.76711,1.80466,0.000953,0.000953,0.000953
26,4808.42,1.52488,1.52785,1.71166,0.59104,0.48763,0.52647,0.31442,1.55936,1.76055,1.81006,0.000940625,0.000940625,0.000940625
27,4994.2,1.53071,1.54883,1.73032,0.62153,0.42013,0.48174,0.2837,1.5982,1.75746,1.84438,0.00092825,0.00092825,0.00092825
28,5179.31,1.52486,1.53671,1.71834,0.54117,0.45756,0.48626,0.28855,1.55154,1.80192,1.79724,0.000915875,0.000915875,0.000915875
29,5365,1.50804,1.51277,1.70017,0.53079,0.51095,0.47987,0.2684,1.63458,1.80595,1.84793,0.0009035,0.0009035,0.0009035
30,5550.13,1.50648,1.4789,1.69348,0.65523,0.50105,0.52018,0.28501,1.66773,1.79314,1.89352,0.000891125,0.000891125,0.000891125
31,5738.7,1.5137,1.52404,1.70402,0.61928,0.42298,0.48655,0.28652,1.54903,1.7476,1.76247,0.00087875,0.00087875,0.00087875
32,5923.99,1.52783,1.52131,1.72839,0.61628,0.46849,0.52189,0.31615,1.55369,1.71988,1.78332,0.000866375,0.000866375,0.000866375
33,6107.95,1.51524,1.52199,1.70114,0.49883,0.54828,0.49459,0.28439,1.54513,1.75928,1.76712,0.000854,0.000854,0.000854
34,6294.99,1.49096,1.47205,1.67645,0.53051,0.50007,0.50269,0.28727,1.58133,1.86459,1.76904,0.000841625,0.000841625,0.000841625
35,6481.6,1.49026,1.45048,1.67368,0.5698,0.52506,0.5387,0.31584,1.59309,1.77151,1.78041,0.00082925,0.00082925,0.00082925
36,6668.48,1.50973,1.47787,1.69434,0.52745,0.46575,0.48459,0.27875,1.66269,1.81437,1.85258,0.000816875,0.000816875,0.000816875
37,6853.94,1.49088,1.4455,1.67488,0.63746,0.50896,0.50503,0.29496,1.52335,1.7921,1.76757,0.0008045,0.0008045,0.0008045
38,7039.54,1.47216,1.43611,1.66501,0.54026,0.49011,0.511,0.30862,1.53271,1.69187,1.74621,0.000792125,0.000792125,0.000792125
