epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02512,3.44402,4.40066,4.1746,0.00108,0.09331,0.00077,0.00024,3.11653,4.49191,4.30028,0.000412234,0.000412234,0.000412234
2,15.6322,3.22965,3.84189,3.72961,0.00255,0.23015,0.00213,0.00069,2.77219,6.06642,3.50586,0.00082885,0.00082885,0.00082885
3,23.0018,3.10205,3.64743,3.36856,0.30645,0.06026,0.02527,0.00686,2.64518,4.49874,3.11849,0.00124526,0.00124526,0.00124526
4,30.3147,2.85112,3.47179,3.13891,0.75747,0.03846,0.00543,0.0019,2.44549,8.00826,3.06882,0.00124931,0.00124931,0.00124931
5,37.601,2.67741,3.3092,2.97857,0.34046,0.11632,0.06407,0.02227,2.30968,3.1969,2.93284,0.00124877,0.00124877,0.00124877
6,45.1111,2.53401,3.12041,2.83998,0.36211,0.20526,0.1181,0.05081,2.20035,2.94408,2.79657,0.00124807,0.00124807,0.00124807
7,52.7348,2.35751,2.98338,2.71307,0.82104,0.08173,0.11035,0.03892,2.24481,4.3218,2.7468,0.00124723,0.00124723,0.00124723
8,60.3725,2.27864,2.87415,2.65658,0.23842,0.1986,0.1556,0.06553,2.1662,2.80216,2.68863,0.00124623,0.00124623,0.00124623
9,67.7107,2.21483,2.73801,2.56067,0.54044,0.25282,0.23877,0.10796,2.02314,2.66873,2.50376,0.00124507,0.00124507,0.00124507
10,75.0789,2.18399,2.75789,2.52169,0.46061,0.27322,0.18082,0.07251,2.04061,2.63197,2.51891,0.00124376,0.00124376,0.00124376
11,82.3441,2.14608,2.61319,2.47178,0.23699,0.25145,0.18129,0.08041,1.92788,2.61351,2.39699,0.00124231,0.00124231,0.00124231
12,89.7886,2.09939,2.62736,2.43347,0.53098,0.29501,0.26508,0.1236,1.89508,2.57419,2.45119,0.00124069,0.00124069,0.00124069
13,96.9676,2.02167,2.52686,2.38229,0.51239,0.31534,0.24011,0.11247,1.81492,2.39116,2.31741,0.00123893,0.00123893,0.00123893
14,104.2,1.99792,2.465,2.33911,0.57494,0.29089,0.25621,0.12486,1.78097,2.44817,2.24505,0.00123701,0.00123701,0.00123701
15,111.653,1.94902,2.39447,2.31916,0.38984,0.32841,0.27654,0.1419,1.80246,2.49464,2.29773,0.00123495,0.00123495,0.00123495
16,119.174,1.96033,2.40536,2.31326,0.38415,0.37812,0.30959,0.15058,1.67792,2.28915,2.18743,0.00123273,0.00123273,0.00123273
17,126.58,1.88183,2.28916,2.24309,0.39415,0.34739,0.33047,0.17465,1.7074,2.26718,2.19607,0.00123036,0.00123036,0.00123036
18,133.815,1.86641,2.26462,2.21805,0.36666,0.3489,0.29572,0.1498,1.69053,2.42842,2.1085,0.00122785,0.00122785,0.00122785
19,141.019,1.87243,2.30273,2.21294,0.42803,0.45694,0.37977,0.19887,1.6334,2.08868,2.12747,0.00122518,0.00122518,0.00122518
20,148.387,1.80758,2.20651,2.16775,0.53087,0.38334,0.34463,0.17,1.6667,2.34281,2.13874,0.00122237,0.00122237,0.00122237
21,155.966,1.83004,2.21538,2.18816,0.37925,0.40355,0.35088,0.18468,1.6491,2.1957,2.1072,0.00121941,0.00121941,0.00121941
22,163.437,1.8708,2.22426,2.20281,0.43516,0.45153,0.38432,0.20001,1.70707,2.05765,2.15992,0.0012163,0.0012163,0.0012163
23,170.735,1.79117,2.14898,2.1542,0.47315,0.40144,0.3885,0.21009,1.59219,2.19501,2.07593,0.00121305,0.00121305,0.00121305
