epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57768,3.44241,4.52804,4.21157,0.0007,0.08048,0.00059,0.00012,3.00064,4.29963,4.13747,0.000412234,0.000412234,0.000412234
2,11.5781,3.26623,4.1285,3.86857,0.25822,0.08837,0.00624,0.00152,2.9366,9.05067,3.5364,0.000818643,0.000818643,0.000818643
3,16.5561,3.20881,3.88311,3.47831,0.77637,0.01119,0.01138,0.00337,2.94298,5.43702,3.16295,0.00121474,0.00121474,0.00121474
4,21.3476,3.07553,3.68772,3.2482,0.28614,0.11117,0.03345,0.00982,2.56444,4.30885,3.09404,0.00120359,0.00120359,0.00120359
5,26.0246,2.88305,3.50678,3.10017,0.42749,0.08047,0.07442,0.0249,2.57642,3.5963,3.05479,0.00118812,0.00118812,0.00118812
6,30.7347,2.73504,3.3393,2.92308,0.30511,0.13366,0.12579,0.04244,2.43746,2.99777,2.86423,0.00117266,0.00117266,0.00117266
7,35.3553,2.54105,3.19438,2.77598,0.18341,0.21115,0.09793,0.03615,2.21346,3.49638,2.66271,0.00115719,0.00115719,0.00115719
8,39.9936,2.37659,3.04655,2.67322,0.45102,0.23883,0.14579,0.0552,2.15631,3.03803,2.62095,0.00114172,0.00114172,0.00114172
9,44.622,2.28159,2.89757,2.54985,0.55137,0.29815,0.23792,0.10062,2.04922,2.73714,2.45882,0.00112625,0.00112625,0.00112625
10,49.3818,2.20597,2.86542,2.48215,0.52344,0.22282,0.18892,0.07791,2.05624,2.58072,2.45294,0.00111078,0.00111078,0.00111078
11,54.1203,2.19408,2.72108,2.4225,0.3447,0.30085,0.20369,0.09619,1.88074,2.72328,2.27521,0.00109531,0.00109531,0.00109531
12,58.7686,2.14376,2.71938,2.38265,0.56659,0.31744,0.25158,0.11772,1.9522,2.50368,2.34189,0.00107984,0.00107984,0.00107984
13,63.4346,2.09954,2.67216,2.36185,0.55673,0.24426,0.22782,0.10125,1.96532,2.50196,2.33929,0.00106437,0.00106437,0.00106437
14,68.1102,2.08502,2.64305,2.32946,0.46685,0.27818,0.23865,0.12433,2.00259,2.63459,2.3199,0.00104891,0.00104891,0.00104891
15,72.7045,1.9918,2.53325,2.25062,0.57052,0.2445,0.27082,0.1337,1.8409,2.37045,2.17954,0.00103344,0.00103344,0.00103344
16,77.2209,2.0321,2.52715,2.2868,0.61808,0.3223,0.32036,0.15777,1.78174,2.33375,2.17825,0.00101797,0.00101797,0.00101797
17,81.8134,1.95714,2.39432,2.22161,0.32701,0.29075,0.25207,0.12404,1.812,2.47348,2.17415,0.0010025,0.0010025,0.0010025
18,86.5199,1.94703,2.39228,2.21147,0.3631,0.33999,0.3005,0.16057,1.79224,2.38866,2.15426,0.000987031,0.000987031,0.000987031
19,91.209,1.94701,2.43687,2.20889,0.56229,0.29348,0.3092,0.15798,1.75698,2.24699,2.14502,0.000971562,0.000971562,0.000971562
20,95.7738,1.89539,2.31512,2.15671,0.49407,0.41362,0.32026,0.16574,1.79481,2.28482,2.14309,0.000956094,0.000956094,0.000956094
21,100.369,1.90565,2.34406,2.15105,0.27408,0.35815,0.25017,0.13199,1.77871,2.32872,2.08954,0.000940625,0.000940625,0.000940625
22,104.893,1.93397,2.37415,2.15957,0.37888,0.35198,0.30035,0.146,1.74035,2.42987,2.12311,0.000925156,0.000925156,0.000925156
23,109.403,1.84876,2.28777,2.11925,0.53094,0.38134,0.38018,0.21407,1.69818,2.05873,2.01645,0.000909688,0.000909688,0.000909688
24,114.026,1.86651,2.26896,2.09968,0.67373,0.31003,0.36247,0.2087,1.73196,2.23767,2.04292,0.000894219,0.000894219,0.000894219
25,118.637,1.81054,2.18984,2.05921,0.46428,0.35476,0.37774,0.21264,1.71354,2.16145,2.03217,0.00087875,0.00087875,0.00087875
26,123.351,1.80028,2.20758,2.06581,0.60626,0.37038,0.36365,0.20768,1.66157,2.06317,1.98804,0.000863281,0.000863281,0.000863281
27,128.006,1.79357,2.15666,2.05233,0.68783,0.33441,0.34595,0.18401,1.7344,2.16935,2.05129,0.000847813,0.000847813,0.000847813
28,132.551,1.78442,2.1672,2.04856,0.46109,0.36043,0.37288,0.20387,1.74543,2.05575,2.06641,0.000832344,0.000832344,0.000832344
29,137.105,1.7426,2.08353,1.99728,0.4104,0.41974,0.34769,0.20166,1.64716,2.1948,1.95119,0.000816875,0.000816875,0.000816875
30,141.612,1.76112,2.09364,1.9992,0.4926,0.4218,0.41068,0.23555,1.63788,2.01492,1.95163,0.000801406,0.000801406,0.000801406
31,146.319,1.76668,2.08631,2.01076,0.46116,0.41388,0.37091,0.22004,1.65174,2.04771,1.97046,0.000785938,0.000785938,0.000785938
32,150.858,1.7488,2.06599,1.99972,0.34895,0.43761,0.34448,0.1918,1.65113,2.22487,1.97105,0.000770469,0.000770469,0.000770469
33,155.628,1.73797,2.0544,1.98568,0.45831,0.46474,0.35817,0.19409,1.66811,2.04524,1.96282,0.000755,0.000755,0.000755
34,160.358,1.69442,1.99009,1.97436,0.56648,0.3973,0.39588,0.22524,1.59281,1.95247,1.91025,0.000739531,0.000739531,0.000739531
35,165.047,1.688,1.96417,1.9504,0.46704,0.46925,0.43087,0.24657,1.5835,1.92514,1.92602,0.000724062,0.000724062,0.000724062
36,169.679,1.68128,1.97715,1.94987,0.53098,0.46741,0.43425,0.25275,1.63836,1.95439,1.90336,0.000708594,0.000708594,0.000708594
37,174.275,1.6876,1.97413,1.92067,0.58272,0.44524,0.43656,0.24882,1.61935,2.05256,1.92347,0.000693125,0.000693125,0.000693125
38,178.963,1.69281,1.96432,1.94795,0.46258,0.4321,0.41725,0.23502,1.62398,2.02406,1.9487,0.000677656,0.000677656,0.000677656
39,183.673,1.63853,1.86652,1.90913,0.41175,0.44492,0.40101,0.23653,1.63767,2.03986,1.93476,0.000662188,0.000662188,0.000662188
40,188.346,1.64785,1.86135,1.90392,0.68946,0.38601,0.42532,0.24861,1.58087,1.92608,1.89092,0.000646719,0.000646719,0.000646719
41,193.066,1.62143,1.81145,1.881,0.49892,0.46157,0.4673,0.26712,1.58513,1.89,1.86944,0.00063125,0.00063125,0.00063125
42,197.705,1.65711,1.82992,1.91188,0.45661,0.47558,0.43336,0.25643,1.591,1.93915,1.89431,0.000615781,0.000615781,0.000615781
43,202.458,1.62257,1.84783,1.897,0.59934,0.44216,0.45223,0.26992,1.55971,1.93405,1.85923,0.000600313,0.000600313,0.000600313
44,207.146,1.61249,1.80652,1.8575,0.56272,0.44288,0.47089,0.27938,1.54618,1.8553,1.83224,0.000584844,0.000584844,0.000584844
45,211.804,1.62656,1.79851,1.88369,0.51508,0.4918,0.48015,0.28573,1.57153,1.831,1.86327,0.000569375,0.000569375,0.000569375
46,216.49,1.57402,1.74472,1.83837,0.57425,0.50013,0.44845,0.27392,1.60801,1.91599,1.8649,0.000553906,0.000553906,0.000553906
47,221.197,1.56854,1.69286,1.82359,0.70267,0.39344,0.47665,0.27946,1.62229,1.83297,1.89133,0.000538438,0.000538438,0.000538438
48,225.866,1.57826,1.70514,1.83702,0.71549,0.38,0.48041,0.28426,1.59392,1.73981,1.88294,0.000522969,0.000522969,0.000522969
49,230.471,1.60132,1.80105,1.87724,0.60294,0.41693,0.45058,0.25783,1.60464,1.94774,1.88023,0.0005075,0.0005075,0.0005075
50,235.071,1.55567,1.70387,1.81059,0.6973,0.40175,0.47338,0.29037,1.53678,1.9112,1.83299,0.000492031,0.000492031,0.000492031
51,239.705,1.5552,1.68836,1.82651,0.71616,0.39529,0.48068,0.30113,1.5375,1.81141,1.80011,0.000476562,0.000476562,0.000476562
52,244.376,1.53872,1.68411,1.80877,0.7046,0.41595,0.49528,0.3042,1.54382,1.77773,1.82255,0.000461094,0.000461094,0.000461094
